title,authors,average_rating
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.00
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76
Changeling (Changeling  #1),Delia Sherman,3.60
The Changeling Sea,Patricia A. McKillip,4.06
The Changeling,Zilpha Keatley Snyder,4.17
The Changeling,Kate Horsley,3.55
The Changeling (Daughters of England  #15),Philippa Carr,3.98
The Known World,Edward P. Jones,3.83
The Known World,Edward P. Jones/Kevin R. Free,3.83
The Known World,Edward P. Jones,3.83
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83
Artesia: Adventures in the Known World,Mark Smylie,4.13
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42
Uncommon Carriers,John McPhee,3.95
Heirs of General Practice,John McPhee,4.17
The Control of Nature,John McPhee,4.24
Annals of the Former World,John McPhee,4.34
Coming Into the Country,John McPhee,4.22
La Place de la Concorde Suisse,John McPhee,3.92
Giving Good Weight,John McPhee,4.23
Rising from the Plains,John McPhee,4.23
The Heidi Chronicles,Wendy Wasserstein,3.75
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59
The Power of One (The Power of One  #1),Bryce Courtenay,4.35
The Power of One (The Power of One  #1),Bryce Courtenay,4.35
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48
eBay for Dummies,Marsha Collier,3.50
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62
Starting an eBay Business for Dummies,Marsha Collier,3.55
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27
ebay Timesaving Techniques for Dummies,Marsha Collier,3.39
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05
Dinner with Anna Karenina,Gloria Goldreich,2.99
Tolstoy: Anna Karenina,Anthony Thorlby,4.19
Untouchable,Mulk Raj Anand/E.M. Forster,3.71
The Untouchable,John Banville,3.95
The Untouchables,Eliot Ness/Oscar Fraley,3.89
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.20
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.40
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.00
Wrinkles in Time,George Smoot/Keay Davidson,4.01
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.00
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.60
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.00
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.60
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.90
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89
I am Charlotte Simmons,Tom Wolfe,3.42
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91
The Puffin Book of Nonsense Verse,Quentin Blake,4.02
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22
Quiet Days in Clichy,Henry Miller,3.69
Tropic of Cancer,Henry Miller/Jiří Níl,3.68
Tropic of Capricorn,Henry Miller,3.78
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.10
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98
The Air-Conditioned Nightmare,Henry Miller,3.83
The Portrait of a Lady,Henry James/Patricia Crick,3.78
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78
Writing,Marguerite Duras,3.75
The War,Marguerite Duras/Barbara Bray,3.85
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92
Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08
Treasure Island,Robert Louis Stevenson,3.83
Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83
Treasure Island,Robert Louis Stevenson,3.83
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83
Treasure Island,Robert Louis Stevenson/Milo Winter,3.83
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05
100 Years of Lynchings,Ralph Ginzburg,4.61
Cien años de soledad,Gabriel García Márquez,4.07
On Beyond Zebra!,Dr. Seuss,4.04
The Wedding Clause,Debbie Raleigh,3.60
The Zebra Wall,Kevin Henkes,3.44
El perfume: Historia de un asesino,Patrick Süskind,4.02
The Door Into Summer,Robert A. Heinlein,4.01
Stranger in a Strange Land,Robert A. Heinlein,3.92
To Sail Beyond the Sunset,Robert A. Heinlein,3.87
Job: A Comedy of Justice,Robert A. Heinlein,3.78
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14
Douglas Adams's Starship Titanic,Terry Jones,3.60
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13
On Bullshit,Harry G. Frankfurt,3.57
Another Bullshit Night in Suck City,Nick Flynn,3.78
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53
Underworld,Don DeLillo,3.92
Libra,Don DeLillo,3.99
Americana,Don DeLillo,3.43
Running Dog,Don DeLillo,3.43
Cosmopolis,Don DeLillo,3.22
Great Jones Street,Don DeLillo,3.48
The Names,Don DeLillo,3.64
Against the Day,Thomas Pynchon,4.13
V.,Thomas Pynchon,3.96
The Crying of Lot 49,Thomas Pynchon,3.69
Gravity's Rainbow,Thomas Pynchon,4.01
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07
Vineland,Thomas Pynchon,3.69
Gravity's Rainbow,Thomas Pynchon,4.01
Slow Learner: Early Stories,Thomas Pynchon,3.50
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.80
The Year of Magical Thinking,Joan Didion,3.89
The White Album,Joan Didion,4.17
A Book of Common Prayer,Joan Didion,3.80
Where I Was From,Joan Didion,3.86
Slouching Towards Bethlehem,Joan Didion,4.21
Democracy,Joan Didion,3.81
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.50
Play It As It Lays,Joan Didion/David Thomson,3.87
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89
City of Glass (The New York Trilogy  #1),Paul Auster,3.79
Ghosts (The New York Trilogy  #2),Paul Auster,3.64
The Locked Room (The New York Trilogy  #3),Paul Auster,3.89
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89
The Brooklyn Follies,Paul Auster,3.84
Moon Palace,Paul Auster,3.94
The Music of Chance,Paul Auster,3.90
Travels in the Scriptorium,Paul Auster,3.23
Leviathan,Paul Auster,3.96
The Red Notebook: True Stories,Paul Auster,3.77
Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.40
Collapse of Complex Societies,Joseph A. Tainter,4.15
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.80
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39
My Inventions,Nikola Tesla,4.01
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93
Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95
Lord of the Flies,William Golding,3.68
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14
The Lovely Bones,Alice Sebold,3.81
The Lovely Bones,Alice Sebold,3.81
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.80
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.80
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73
Vice (V  #8),Jane Feather,3.51
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72
Motorcycle Basics Techbook,John Harold Haynes,3.85
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93
The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11
War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11
The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13
Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68
The Fountainhead,Ayn Rand,3.87
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51
Anthem,Ayn Rand,3.63
We the Living,Ayn Rand/Leonard Peikoff,3.91
Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,3.88
Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96
Sailing for Dummies,J.J. Isler/Peter Isler,3.95
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62
"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09
The Natural,Bernard Malamud/Kevin Baker,3.63
Digging to America,Anne Tyler,3.55
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,3.77
Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59
The Plot Against America,Philip Roth,3.77
Naked Pictures of Famous People,Jon   Stewart,3.59
Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.19
Crónica de una muerte anunciada,Gabriel García Márquez,3.97
Cien años de soledad,Gabriel García Márquez,4.07
Del amor y otros demonios,Gabriel García Márquez,3.98
Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,3.99
Memoria de mis putas tristes,Gabriel García Márquez,3.60
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,4.29
The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,3.75
Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,3.83
Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,4.03
Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,0.00
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.88
Cryptonomicon,Neal Stephenson,4.25
Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.10
The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26
Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93
The Cobweb,Neal Stephenson/J. Frederick George,3.61
The Big U,Neal Stephenson,3.25
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,4.19
Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,3.68
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.20
Snow Crash,Neal Stephenson/Guy Abadia,4.03
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,4.16
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,4.24
The Design of Everyday Things,Donald A. Norman,4.17
Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.95
The Psychology of Everyday Things,Donald A. Norman,4.17
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4.27
The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,3.86
The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,3.86
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,4.50
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,4.55
The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,3.86
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,4.52
Pompeii,Robert   Harris,3.82
The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,3.60
Of Mice and Men,John Steinbeck,3.87
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,3.74
The Westing Game,Ellen Raskin,4.02
The Egypt Game,Zilpha Keatley Snyder,3.83
Memoirs of a Geisha,Arthur Golden,4.11
Memoirs of a Geisha,Arthur Golden,4.11
Memoirs of a Geisha,Arthur Golden,4.11
Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,4.08
Memoirs of a Geisha,Arthur Golden,4.11
Geisha of Gion,Mineko Iwasaki/Rande Brown,3.93
Love As A Foreign Language #5,J. Torres/Eric  Kim,3.44
Jungle Love,Margaret Johnson/Philip Prowse,3.41
The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,4.70
Angels & Demons (Robert Langdon  #1),Dan Brown,3.89
Ángeles y demonios (Robert Langdon  #1),Dan Brown,3.89
Angeles & Demonios,Dan Brown/Raúl Amundaray,3.89
The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84
The Da Vinci Code,Dan Brown,3.84
Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,3.84
Deception Point,Dan Brown,3.71
Deception Point,Dan Brown,3.71
Deception Point,Dan Brown,3.71
A Killing Rain (Louis Kincaid  #6),P.J. Parrish,4.04
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,4.03
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,4.18
Think and Grow Rich,Napoleon Hill,4.18
Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,3.58
Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,3.95
Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,3.66
The Richest Man in Babylon,George S. Clason,4.26
The Richest Man in Babylon,George S. Clason,4.26
Shibumi,Trevanian/Gisela Stege,4.21
1776,David McCullough,4.07
1776,Peter  Stone/Sherman Edwards,4.22
The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,3.62
The Good Earth (House of Earth  #1),Pearl S. Buck,3.98
Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,3.93
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74
Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,3.74
Snow Flower and the Secret Fan,Lisa See,4.07
The Broker,John Grisham,3.78
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,4.51
The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,3.75
Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,3.74
Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,3.65
Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,3.95
The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,4.13
The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,4.07
Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,3.15
Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus,3.99
Monkey Business,Sarah Mlynowski,3.67
Liar's Poker,Michael   Lewis,4.15
Liar's Poker: A Harry Garnish Mystery,Frank McConnell,3.31
Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,4.08
Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson,3.96
Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,3.95
Everyday Pasta,Giada De Laurentiis/Victoria Pearson,4.09
Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,4.09
Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,4.06
Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay,3.92
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97
Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt/Stephen J. Dubner,3.97
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97
The Last Assassin (John Rain  #5),Barry Eisler,4.27
Life of Pi,Yann Martel,3.91
L'Histoire de Pi,Yann Martel/Nicole Martel/Emile Martel,3.91
Shadows and Wind: A View of Modern Vietnam,Robert Templer,3.49
A Million Little Pieces,James Frey,3.65
A Million Little Pieces of Feces,Python Bonkers,3.56
A Million Little Lies,James Pinocchio/Pablo Fenjves,3.41
The Leadership Challenge,James M. Kouzes/Barry Z. Posner,4.05
Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,4.14
Leadership in Organizations,Gary Yukl,3.68
Leadership,Rudolph W. Giuliani,3.72
Men Are from Mars  Women Are from Venus,John Gray,3.55
Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,John Gray,3.62
Men Are from Mars  Women Are from Venus,John Gray,3.55
How to Succeed with Women,Ron  Louis/David Copeland,3.76
The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,4.05
The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,4.05
Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,4.26
Juiced Official Strategy Guide,Doug Walsh,0.00
The 48 Laws of Power,Robert Greene/Joost Elffers,4.18
Gates of Fire,Steven Pressfield,4.42
Fire Sea (The Death Gate Cycle  #3),Margaret Weis/Tracy Hickman,4.07
The Gate of Fire (Oath Of Empire Book Two),Thomas Harlan,3.58
The Afghan Campaign,Steven Pressfield,3.96
Tides of War,Steven Pressfield,3.90
Last of the Amazons,Steven Pressfield,3.76
The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield/Robert McKee,4.00
Gita on the Green,Stephen J. Rosen/Steven Pressfield,3.78
Blood Stripes: The Grunt's View of the War in Iraq,David J. Danelo/Steven Pressfield,3.91
Phaedrus and Letters VII and VIII,Plato/Walter Hamilton,4.10
Phaedrus,Plato/Robin Waterfield,3.92
Phaedrus,Plato/C.J. Rowe,3.92
Lysis/Phaedrus/Symposium: Plato on Homosexuality,Plato/Benjamin Jowett,4.47
Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,4.50
